city,population
北京市,超大
天津市,超大
辽宁省沈阳市,超大
吉林省长春市,超大
黑龙江省哈尔滨市,超大
上海市,超大
江苏省南京市,超大
湖北省武汉市,超大
广东省广州市,超大
重庆市,超大
四川省成都市,超大
陕西省西安市,超大
河北省石家庄市,特大
河北省唐山市,特大
山西省太原市,特大
内蒙包头市,特大
辽宁省大连市,特大
辽宁省鞍山市,特大
辽宁省抚顺市,特大
吉林省吉林市,特大
黑龙江省齐齐哈尔市,特大
江苏省徐州市,特大
浙江省杭州市,特大
福建省福州市,特大
江西省南昌市,特大
山东省济南市,特大
山东省青岛市,特大
山东省淄博市,特大
河南省郑州市,特大
湖南省长沙市,特大
贵州省贵阳市,特大
云南省昆明市,特大
甘肃省兰州市,特大
新疆乌鲁木齐市,特大
河北省邯郸市,大
河北省保定市,大
河北省张家口市,大
山西省大同市,大
内蒙呼和浩特市,大
辽宁省本溪市,大
辽宁省丹东市,大
辽宁省锦州市,大
辽宁省阜新市,大
辽宁省辽阳市,大
黑龙江省鸡西市,大
黑龙江省鹤岗市,大
黑龙江省大庆市,大
黑龙江省伊春市,大
黑龙江省佳木斯市,大
黑龙江省牡丹江市,大
江苏省无锡市,大
江苏省常州市,大
江苏省苏州市,大
浙江省宁波市,大
安徽省合肥市,大
安徽省淮南市,大
安徽省淮北市,大
福建省厦门市,大
山东省枣庄市,大
山东省烟台市,大
山东省潍坊市,大
山东省泰安市,大
山东省临沂市,大
河南省开封市,大
河南省洛阳市,大
河南省平顶山市,大
河南省安阳市,大
河南省新乡市,大
河南省焦作市,大
湖北省黄石市,大
湖北省襄樊市,大
湖北省荆州市,大
湖南省株洲市,大
湖南省湘潭市,大
湖南省衡阳市,大
广东省深圳市,大
广东省汕头市,大
广东省湛江市,大
广西南宁市,大
广西柳州市,大
青海省西宁市,大
河北省秦皇岛市,中等
河北省邢台市,中等
河北省承德市,中等
河北省沧州市,中等
河北省廊坊市,中等
河北省衡水市,中等
山西省阳泉市,中等
山西省长治市,中等
内蒙乌海市,中等
内蒙赤峰市,中等
辽宁省营口市,中等
辽宁省盘锦市,中等
辽宁省铁岭市,中等
辽宁省朝阳市,中等
辽宁省葫芦岛市,中等
吉林省四平市,中等
吉林省辽源市,中等
吉林省通化市,中等
吉林省白山市,中等
吉林省松原市,中等
吉林省白城市,中等
黑龙江省双鸭山市,中等
黑龙江省七台河市,中等
江苏省南通市,中等
江苏省连云港市,中等
江苏省淮阴市,中等
江苏省盐城市,中等
江苏省扬州市,中等
江苏省镇江市,中等
江苏省泰州市,中等
浙江省温州市,中等
浙江省嘉兴市,中等
浙江省湖州市,中等
浙江省绍兴市,中等
浙江省台州市,中等
安徽省芜湖市,中等
安徽省蚌埠市,中等
安徽省马鞍山市,中等
安徽省铜陵市,中等
安徽省安庆市,中等
安徽省阜阳市,中等
福建省泉州市,中等
福建省漳州市,中等
福建省南平市,中等
福建省龙岩市,中等
江西省景德镇市,中等
江西省萍乡市,中等
江西省九江市,中等
江西省新余市,中等
山东省东营市,中等
山东省济宁市,中等
山东省威海市,中等
山东省日照市,中等
山东省莱芜市,中等
山东省德州市,中等
河南省鹤壁市,中等
河南省濮阳市,中等
河南省许昌市,中等
河南省漯河市,中等
河南省南阳市,中等
河南省商丘市,中等
湖北省十堰市,中等
湖北省宜昌市,中等
湖北省鄂州市,中等
湖北省荆门市,中等
湖北省孝感市,中等
湖北省黄冈市,中等
湖南省邵阳市,中等
湖南省岳阳市,中等
湖南省常德市,中等
湖南省益阳市,中等
湖南省郴州市,中等
湖南省永州市,中等
湖南省怀化市,中等
广东省韶关市,中等
广东省珠海市,中等
广东省佛山市,中等
广东省江门市,中等
广东省茂名市,中等
广东省肇庆市,中等
广东省惠州市,中等
广东省梅州市,中等
广东省阳江市,中等
